k_C1_growth,k_C_T1,k_P1_d1,n_T1_clones,n_T0_clones,N_IL2_CD8,N_IL2_CD4,initial_tumour_diameter,T_PD1_total,C1_PDL1_base,APC_PDL1_base,PD1_50,r_PDL2C1,r_PDL2APC,k_Th_Treg,k_K_g,k_MDSC_mig,k_Mac_mig,k_CCL2_sec,C_CD47,M_SIRPa,M_PD1_total,k_M1_phago,SIRPa_50,K_Mac_C,Vmcl,Kcl,Vmt,Kt,BSA,V_1,V_2,V_3,r_nabp,IC50_nabp,k_C_resist,k_vas_nabp,Kc_nabp,RECIST
0.0052526904129477706,0.9245550601890029,3.094932649990076e-08,38.99449083783406,60.29612549888929,11.774862377458394,9.602367301382085,2.739420684599412,25445.092496912548,62728.77963308345,242491.96201286308,5.282680339498333,0.08415894706756177,0.0041109548723540276,0.08470069235701902,5.297055990806056,10193.850212200523,90298.88754900175,5.453659719346731e-13,500.2359957280233,167.53367481494112,49872.97092358165,2.4007822178793816,53.52648082116498,1.2037894673198113,6594.7505132871875,46.30874249787106,455148.81309094065,4035.794473433766,1.9259466410882355,16.349285376895253,1668.7700595871188,68.41826642452993,1.323546580712189,117.64891517676763,0.00011759843356843066,0.0006290514014438549,101756848.95519856,SD
0.023150050475640886,0.06788426080529825,8.717024434217349e-09,39.99092540189037,70.32332810215847,11.263329243613633,9.737378154579709,2.8683058856223007,15421.659459063743,209451.99009817655,107862.46298415058,6.42557533853395,0.014604868883308992,0.008407308052499474,0.008246767061085562,2.5468933449897073,7475.387703933978,193460.90788434012,2.0485024391501274e-12,103.68742163153928,138.24113567664202,2799.9209154230202,0.10155838387020073,34.48042179642864,1.5806339899746278,9169.35122449062,30.794906080551076,535761.7824176641,4157.643471069826,1.4351362319572454,13.715015248097071,1781.1464695846848,72.82775039925521,1.4998544198628068,89.50420737696591,0.0003025371048413725,0.0004875459292338432,216543572.93733805,SD
0.0018836163868852518,1.0693696281681806,3.064502679981656e-08,259.6415294270573,84.22437087869355,10.124552809869082,8.429650693428894,1.6993273452098179,49192.66914863321,93797.83320007287,235258.90842635746,24.073142885741067,0.021705991299254584,0.005819605974995402,0.07893771793969365,3.5761793740235372,17747.095845417953,98253.84435827669,8.967667477258367e-13,418.6160386097508,49.517655187041136,8941.167534645281,0.15888167293163724,21.26638092326499,1.8601511568464073,7201.48349664777,30.017054682901563,293056.42612142017,4702.556025899967,1.9662696102959414,15.277097024513502,1513.901969066309,63.880471061936696,1.4491061710435988,79.58444888079079,4.8606700594193724e-05,0.00040509408023734346,88463339.89371736,SD
0.005866019672771749,0.312522899392309,3.6327964221391146e-09,68.06245176242481,118.00133010007478,11.188585633307074,8.7800153121155,2.987682023309242,22035.697369463316,50614.305544369614,176445.05375708686,9.603000111557224,0.0025082779346197216,0.005538086245819425,0.008912805077049394,3.474842726039991,4840.127357287987,314896.37830992794,1.3291280478681117e-12,278.08511180351917,70.22261445526782,16710.3494715501,0.07605930210650341,33.007188006243574,1.9649699919726749,7143.741442120099,46.87456474053094,537032.0652208455,5094.927180397752,1.6865660042728412,14.83862521357492,1706.1887920007223,68.40898058874413,1.6206279697888337,401.3136808428573,4.161983166951227e-05,9.258366980149948e-05,317680547.4219767,SD
0.0037439156505826325,1.5116221877750202,3.539755527539651e-08,204.2729995930724,44.67250250464133,10.37970945909855,8.35348773769031,2.552291295629204,14780.506227130398,102831.15182230623,68403.8457228781,4.99440047060323,0.08584552844165597,0.07154505461078803,0.019967340075450254,2.2476331959677225,14440.052686206274,255189.59983304454,3.184423898447207e-12,423.72424853793905,118.83265674632756,3645.5013511921793,0.16155599076206573,132.83569293840765,0.34978561954763426,9171.879646507481,38.73497585488707,217458.23927834255,2704.9447394285608,1.72827038802019,17.83355112034556,1444.6876299326552,85.35264009773834,1.6375960376505763,64.64259000337132,0.00015718361361941258,5.998725054842129e-05,63939733.58536653,NP
0.003826766347460452,2.1235476010552263,6.350317126929134e-08,152.95284853481803,32.255635775702515,10.61836942550585,9.211519888183467,1.7722706653289528,21462.9633601618,168976.04992347,120725.92613306145,12.858758119086481,0.005734322162537074,0.005681167567728686,0.07048912257782108,2.7704398194014166,10516.349879406878,234034.79531033104,5.299041586533699e-13,666.0120841260318,100.014847823379,11679.0700784972,0.349260937491506,77.94061173674774,1.3343284276124685,8726.352069424864,38.108109483688864,300179.2558516308,7811.42147909818,2.3026218418472046,17.571313845953018,1672.1135638045391,77.79773460963382,1.174472098113921,263.9856770101823,0.00046671723693672047,0.0004352748699868099,61720457.38511085,CR/PR
0.00680099960219966,0.8813817271468389,9.459209950102439e-08,153.77716192617495,63.74151463609413,10.056373746277538,8.49530039470763,1.9049300797572233,21972.55638288533,71122.8395049353,90032.25612339901,6.678416410212941,0.013268955167718952,0.007389781346675826,0.028307303700081006,2.951263692571942,6854.913689218084,377666.59884585557,2.330464035639632e-12,264.8483301443139,162.97201490268057,17648.463279819094,0.3694127609009058,60.1441862302645,0.4599920916985139,6581.716210530886,33.352138310228604,341347.5801726652,6871.988920845334,1.6600122077563189,14.716010031909672,1853.6143717741593,81.48091727068582,1.58300278594955,131.89232661054325,9.995912509355373e-05,0.0002084904875092065,26841204.780520145,SD
0.006984374525492799,0.5399474989210493,1.055900821296579e-08,20.119348712519482,47.196670325884625,11.452583562601426,8.57709592787342,2.164154983670694,16943.85934092993,52190.24368482461,149113.8502987573,4.365508652724829,0.07392885872120376,0.09135454323111086,0.005309673352399317,4.1739843820217,19419.367923186117,179807.45312652516,1.1195841353483674e-12,466.7806460726509,130.86027386881202,4941.32850546448,0.4893236613324558,34.776444536295074,1.1962339736111216,7537.971855310376,29.314936270506884,299827.831250949,4111.896179957014,2.1536570661562413,16.072096943727296,1874.960290668076,67.1573301673203,1.4319641298373056,82.6804825017427,0.0003383951556350143,0.0007247731184960467,22183659.352209136,SD
0.004825946531691808,0.13286063934919048,4.781083565959437e-08,21.08511915041094,38.87432135136196,11.098045247822474,8.13839779243032,3.75286717988432,46585.91310847391,80935.02989831351,53567.76657898942,5.914659912820238,0.011192034989209714,0.0018122157622832739,0.013640015306181577,3.323850779418847,11736.976182856983,88422.28493833038,1.0655803452886345e-12,156.04532831756325,56.894314346472164,6135.245047198543,0.7493595462698469,64.07334352599585,1.2310651828041725,7447.801880782183,45.46369925964843,211479.2166289919,6659.480845243186,2.3896137045992356,13.755287518609258,1895.8749271845593,90.16473872563049,1.0941460019553566,81.73100120976136,0.00039863332135782844,0.0002016679058055521,9672848.252965324,NP
0.004611371834043585,4.440789246294507,1.943810031107257e-08,46.236273552517915,43.11619389706317,10.279865269119789,7.686434998128302,1.6559772257699583,25132.09222804409,60877.223427069366,126721.0592503265,12.092283783365255,0.05258550443721109,0.03139864600411297,0.05381194382058796,5.974655215389638,6183.040508996263,778532.9661123111,1.2355885301195643e-12,499.3742694894624,107.20275486876928,13025.522504323086,0.38519794176637945,58.44802035514079,9.401541615749977,8599.972115845194,56.9153546062738,508970.61659310246,7537.981756110168,2.271188994893466,14.8796650252063,1457.3581209637211,96.76337856314028,1.4856638037424945,149.8670052611808,0.0004727539626293456,0.00029787677975838767,197621395.50229192,SD
